id,name,carrier_object,safe_element,safe_amount,risk_draws_allowed,flavor
A01,Разбитый корабль,корабль на рифе,water,1,2,Груз ещё виден сквозь воду
A02,Кладовая гоблинов,подземный склад,earth,1,2,Заперто на честное слово
A03,Костёр странника,потухший костёр,fire,1,2,Угли ещё тёплые
A04,Падающая звезда,воронка в поле,star,1,1,Упала минуту назад
A05,Заросшая тропа,тропа в чаще,earth,1,2,Кто-то прошёл здесь недавно
A06,Водоворот,воронка в море,water,1,1,Затягивает не сразу
A07,Кузня без кузнеца,пустая кузница,fire,1,2,Молот ещё горячий
A08,Обсерватория,разбитый телескоп,star,1,1,Кто-то искал здесь ответ
A09,Старый колодец,каменный колодец,water,1,2,Эхо не сразу возвращается
A10,Медвежья берлога,пещера в холме,earth,1,2,Хозяин может быть дома
A11,Вулканическая трещина,трещина в скале,fire,1,1,Дышит жаром
A12,Звёздный алтарь,каменный алтарь,star,1,2,Ждёт подношения
A13,Затонувший рынок,руины на дне,water,1,2,Товар всё ещё цел
A14,Корни великана,гигантское дерево,earth,1,1,Корни уходят глубже чем кажется
A15,Сигнальный маяк,старый маяк,fire,1,2,Свет виден издалека
A16,Комета над холмом,ночное небо,star,1,2,Проходит раз в сто лет
A17,Пиратский тайник,зарытый сундук,water,1,2,Карта неточная но верная
A18,Каменные великаны,стоящие камни,earth,1,1,Считать их себе дороже
A19,Драконье гнездо,гнездо на скале,fire,1,1,Пусто или почти пусто
A20,Небесная лестница,лестница из облаков,star,1,2,Ведёт выше чем кажется
A21,Русалочья заводь,тихая заводь,water,1,2,Поют не для всех
A22,Гномья шахта,заброшенная шахта,earth,1,2,Кирки ещё лежат у входа
A23,Огненный дух,блуждающий огонёк,fire,1,2,Ведёт или уводит
A24,Портал в тумане,мерцающая арка,star,1,1,Открыт всего на миг
